id,text,intent,language,is_code_switched,formality,difficulty
9701,I urgently request the geospatial tracking coordinates for my dispatched freight.,order_tracking,english,false,formal,hard
9702,Can you refresh the delivery map? It seems stuck on yesterday's location.,order_tracking,english,false,neutral,medium
9703,where is my courier right now,order_tracking,english,false,informal,easy
9704,म मेरो पठाइएको ढुवानीको लागि भू-स्थानिक ट्र्याकिङ कोअर्डिनेटहरू तुरुन्त अनुरोध गर्दछु।,order_tracking,nepali_devanagari,false,formal,hard
9705,के तपाईं डेलिभरी नक्सा रिफ्रेस गर्न सक्नुहुन्छ? यो हिजोकै स्थानमा अड्किएको जस्तो छ।,order_tracking,nepali_devanagari,false,neutral,medium
9706,मेरो कुरियर अहिले कता छ,order_tracking,nepali_devanagari,false,informal,easy
9707,ma mero pathaieko dhuwani ko lagi bhu-sthanik tracking coordinate haru turunta anurodh gardaxu.,order_tracking,romanized_nepali,false,formal,hard
9708,k tapai delivery naksa refresh garna saknuhunxa? yo hijokai sthan ma adkieko jasto xa.,order_tracking,romanized_nepali,false,neutral,medium
9709,mero courier ahile kata xa,order_tracking,romanized_nepali,false,informal,easy
9710,dispatched freight ko geospatial tracking coordinates urgently request garchu.,order_tracking,code_switched,true,formal,hard
9711,delivery map refresh garna milcha? yesterday ko location mai stuck cha.,order_tracking,code_switched,true,neutral,medium
9712,where is my courier right now map map kei dekhinna.,order_tracking,code_switched,true,informal,easy
9713,logistics gateway ma parcel ko exact status extract garnus.,order_tracking,code_switched,true,formal,hard
9714,transit node bata update aayena tracking fail vako ho?,order_tracking,code_switched,true,neutral,medium
9715,delivery guy le location share garena yaar.,order_tracking,code_switched,true,informal,easy
9716,Kindly confirm if the assembly division has commenced work on my custom specifications.,order_status,english,false,formal,hard
9717,I'd like to check if the gift wrapping request was applied to my cart.,order_status,english,false,neutral,medium
9718,is my purchase verified yet,order_status,english,false,informal,easy
9719,कृपया जडान विभागले मेरो अनुकूलित विशिष्टताहरूमा काम सुरु गरेको छ कि छैन पुष्टि गर्नुहोस्।,order_status,nepali_devanagari,false,formal,hard
9720,म जाँच्न चाहन्छु कि मेरो कार्टमा उपहार र्‍यापिङ अनुरोध लागू गरिएको थियो कि थिएन।,order_status,nepali_devanagari,false,neutral,medium
9721,मेरो खरिद पक्का भयो कि नाइ,order_status,nepali_devanagari,false,informal,easy
9722,kripaya jadan vibhag le mero anukulit bishistataharuma kaam suru gareko xa ki xaina pusti garnuhos.,order_status,romanized_nepali,false,formal,hard
9723,ma janch garna chahanxu ki mero cart ma upahar wrapping anurodh lagu garieko thiyo ki thiena.,order_status,romanized_nepali,false,neutral,medium
9724,mero kharid pakka vayo ki nai,order_status,romanized_nepali,false,informal,easy
9725,assembly division le mero custom specifications ma kaam commence garyo ki confirm garnus.,order_status,code_switched,true,formal,hard
9726,gift wrapping request cart ma apply vayo ki nai check garna thiyo.,order_status,code_switched,true,neutral,medium
9727,is my purchase verified yet status k cha.,order_status,code_switched,true,informal,easy
9728,procurement phase cross vayera packaging queue ma align bhayo?,order_status,code_switched,true,formal,hard
9729,payment clear bhayo tara merchant end bata still awaiting approval dekhaudai cha.,order_status,code_switched,true,neutral,medium
9730,order confirm vayo email aayena ta.,order_status,code_switched,true,informal,easy
9731,I insist on the immediate dissolution of this transaction prior to the dispatch confirmation.,order_cancellation,english,false,formal,hard
9732,Could you please drop the extra accessory pack from my order history?,order_cancellation,english,false,neutral,medium
9733,cancel this entire thing,order_cancellation,english,false,informal,easy
9734,प्रेषण पुष्टि हुनुभन्दा अघि म यो कारोबार तत्काल खारेज गर्न जोड दिन्छु।,order_cancellation,nepali_devanagari,false,formal,hard
9735,के तपाईं मेरो अर्डर हिस्ट्रीबाट अतिरिक्त सहायक प्याक हटाउन सक्नुहुन्छ?,order_cancellation,nepali_devanagari,false,neutral,medium
9736,यो सबै रद्द गर्देउ,order_cancellation,nepali_devanagari,false,informal,easy
9737,preshan pusti hunubhanda aghi ma yo karobar tatkal kharej garna jod dinxu.,order_cancellation,romanized_nepali,false,formal,hard
9738,k tapai mero order history bata atirikta sahayak pack hatauna saknuhunxa?,order_cancellation,romanized_nepali,false,neutral,medium
9739,yo sabai radda gardeu,order_cancellation,romanized_nepali,false,informal,easy
9740,dispatch confirmation aghi nai transaction ko immediate dissolution insist garchu.,order_cancellation,code_switched,true,formal,hard
9741,order history bata extra accessory pack drop garna milcha please?,order_cancellation,code_switched,true,neutral,medium
9742,cancel this entire thing ahile ko ahile.,order_cancellation,code_switched,true,informal,easy
9743,auto-shipment mandate lai permanently void garna system override execute garnus.,order_cancellation,code_switched,true,formal,hard
9744,checkout error le double order vayo euta item cancel gara.,order_cancellation,code_switched,true,neutral,medium
9745,delivery stop gara malai saman chahiyena.,order_cancellation,code_switched,true,informal,easy
9746,The recurrent logistical impediments have egregiously bypassed the stated delivery parameters.,delayed_delivery,english,false,formal,hard
9747,"The expected delivery window was yesterday, but the app just says en route.",delayed_delivery,english,false,neutral,medium
9748,why is it not delivered,delayed_delivery,english,false,informal,easy
9749,बारम्बारको लजिस्टिक बाधाहरूले निर्धारित डेलिभरी मापदण्डहरूलाई गम्भीर रूपमा नाघेको छ।,delayed_delivery,nepali_devanagari,false,formal,hard
9750,"अपेक्षित डेलिभरी समय हिजो थियो, तर एपले अझै बाटोमा छ मात्र भन्छ।",delayed_delivery,nepali_devanagari,false,neutral,medium
9751,किन अझै डेलिभर भएन,delayed_delivery,nepali_devanagari,false,informal,easy
9752,barambar ko logistic badhaharu le nirdharit delivery mapadandaharu lai gambhir rupma nagheko xa.,delayed_delivery,romanized_nepali,false,formal,hard
9753,"apekshit delivery samaya hijo thiyo, tara app le ajhai bato ma xa matra vanxa.",delayed_delivery,romanized_nepali,false,neutral,medium
9754,kina ajhai deliver vayena,delayed_delivery,romanized_nepali,false,informal,easy
9755,recurrent logistical impediments le stated delivery parameters egregiously bypass garyo.,delayed_delivery,code_switched,true,formal,hard
9756,"expected delivery window yesterday thiyo, but app just says en route.",delayed_delivery,code_switched,true,neutral,medium
9757,why is it not delivered kasto dhilo.,delayed_delivery,code_switched,true,informal,easy
9758,transit bottleneck le priority shipment severely delay garyo official explanation chahiyo.,delayed_delivery,code_switched,true,formal,hard
9759,customs terminal ma package securely fasiraacha tracking freeze vayo.,delayed_delivery,code_switched,true,neutral,medium
9760,ajhai aayena yar tracking update ta deu.,delayed_delivery,code_switched,true,informal,easy
9761,The disseminated merchandise fundamentally deviates from the explicit technical schematics.,wrong_item,english,false,formal,hard
9762,"I got a wired mouse, but my receipt clearly shows I bought a wireless one.",wrong_item,english,false,neutral,medium
9763,sent the wrong color again,wrong_item,english,false,informal,easy
9764,वितरण गरिएको सामान मैले दिएको स्पष्ट प्राविधिक रेखाचित्रहरूबाट मौलिक रूपमा फरक छ।,wrong_item,nepali_devanagari,false,formal,hard
9765,"मैले तार भएको माउस पाएँ, तर मेरो रसिदले स्पष्ट देखाउँछ कि मैले वायरलेस किनेको थिएँ।",wrong_item,nepali_devanagari,false,neutral,medium
9766,फेरि गलत रङ पठायो,wrong_item,nepali_devanagari,false,informal,easy
9767,bitaran garieko saman maile diyeko spasta prabidhik rekhachitra harubata maulik rupma farak xa.,wrong_item,romanized_nepali,false,formal,hard
9768,"maile taar vayeko mouse panye, tara mero rasid le spasta dekhauxa ki maile wireless kineko thiye.",wrong_item,romanized_nepali,false,neutral,medium
9769,feri galat rang pathayo,wrong_item,romanized_nepali,false,informal,easy
9770,disseminated merchandise explicit technical schematics bata fundamentally deviate garcha.,wrong_item,code_switched,true,formal,hard
9771,wired mouse aayo but receipt ma clearly wireless bought bhanera shows garcha.,wrong_item,code_switched,true,neutral,medium
9772,sent the wrong color again replace it.,wrong_item,code_switched,true,informal,easy
9773,imported appliance ko voltage rating region sanga absolutely incompatible cha.,wrong_item,code_switched,true,formal,hard
9774,variant mismatch clearly evident cha delivered box ma.,wrong_item,code_switched,true,neutral,medium
9775,size small aayo L magya thie.,wrong_item,code_switched,true,informal,easy
9776,The brittle components were subjected to severe kinetic shock rendering them entirely inoperable.,damaged_item,english,false,formal,hard
9777,"The box was completely flattened, and the framed picture inside is shattered.",damaged_item,english,false,neutral,medium
9778,the toy is completely broken,damaged_item,english,false,informal,easy
9779,कमजोर पार्टपुर्जाहरू गम्भीर गतिज झट्काको सिकार भए जसले गर्दा तिनीहरू पूर्ण रूपमा काम नलाग्ने भएका छन्।,damaged_item,nepali_devanagari,false,formal,hard
9780,"बाकस पूरै चेप्टिएको थियो, र भित्रको फ्रेम गरिएको चित्र चकनाचुर भएको छ।",damaged_item,nepali_devanagari,false,neutral,medium
9781,खेलौना पूरै फुटेको छ,damaged_item,nepali_devanagari,false,informal,easy
9782,kamjor partpurjaharu gambhir gatija jhatka ko sikar vaye jasle garda tiniharu purna rupma kaam nalagne vayeka xan.,damaged_item,romanized_nepali,false,formal,hard
