id,text,intent,language,is_code_switched,formality,difficulty
4501,Is my split shipment arriving in two separate vans?,order_tracking,english,false,formal,medium
4502,The tracking shows my parcel was left at a PO Box instead of my house.,order_tracking,english,false,neutral,hard
4503,track the second part of my order,order_tracking,english,false,informal,easy
4504,Can I get the freight forwarder's direct contact line?,order_tracking,english,false,neutral,medium
4505,मेरो आधा सामान अर्कै गाडीमा आउँदै हो र?,order_tracking,nepali_devanagari,false,formal,medium
4506,ट्र्याकिङमा सामान हुलाक बक्समा छोड्यो भन्छ तर मेरो घरमा दिनुपर्ने हो।,order_tracking,nepali_devanagari,false,neutral,hard
4507,मेरो बाँकी अर्डर ट्र्याक गर त।,order_tracking,nepali_devanagari,false,informal,easy
4508,ढुवानी गर्ने कम्पनीको सिधा सम्पर्क नम्बर पाउन सक्छु?,order_tracking,nepali_devanagari,false,formal,medium
4509,mero aadha saman arkai gadi ma aaudai ho ra?,order_tracking,romanized_nepali,false,neutral,medium
4510,tracking ma saman hulak box ma xodyo vanxa tara mero ghar ma dinuparne ho.,order_tracking,romanized_nepali,false,neutral,hard
4511,mero banki order track gara ta.,order_tracking,romanized_nepali,false,informal,easy
4512,dhuwani garne company ko sidha samparka number pauna sakxu?,order_tracking,romanized_nepali,false,formal,medium
4513,split shipment ko second part kun van ma aaudai cha?,order_tracking,code_switched,true,formal,medium
4514,parcel PO Box ma left garyo bhancha tracking le but I need home delivery.,order_tracking,code_switched,true,neutral,hard
4515,second part track gara ta order ko.,order_tracking,code_switched,true,informal,easy
4516,freight forwarder ko direct contact line provide garna milcha?,order_tracking,code_switched,true,formal,medium
4517,tracking map freeze bhayo shipment movement show gardaina.,order_tracking,code_switched,true,neutral,medium
4518,live location link send garnus na mero package ko.,order_tracking,code_switched,true,informal,medium
4519,custom clearance ma adkeko parcel ko ETA k ho?,order_tracking,code_switched,true,formal,hard
4520,delivery boy le route change garyo app ma wrong direction dekhaucha.,order_tracking,code_switched,true,neutral,hard
4521,Has the customized engraving phase of my order finished?,order_status,english,false,formal,hard
4522,I want to know my exact position in the backorder queue.,order_status,english,false,neutral,medium
4523,is my stuff ready,order_status,english,false,informal,easy
4524,Did the B2B supplier allocate the inventory for my bulk request?,order_status,english,false,formal,medium
4525,मैले अर्डर गरेको सामानमा नाम कुँद्ने काम सकियो कि छैन?,order_status,nepali_devanagari,false,formal,hard
4526,स्टक सकिएको सामानको लाइनमा मेरो पालो कति नम्बरमा छ?,order_status,nepali_devanagari,false,neutral,medium
4527,मेरो सामान रेडी भयो?,order_status,nepali_devanagari,false,informal,easy
4528,होलसेल बिक्रेताले मेरो ठूलो अर्डरको लागि सामान छुट्यायो त?,order_status,nepali_devanagari,false,formal,medium
4529,maile order gareko saman ma naam kundne kaam sakiyo ki xaina?,order_status,romanized_nepali,false,formal,hard
4530,stock sakieko saman ko line ma mero palo kati number ma xa?,order_status,romanized_nepali,false,neutral,medium
4531,mero saman ready vayo?,order_status,romanized_nepali,false,informal,easy
4532,wholesale bikreta le mero thulo order ko lagi saman chutyayo ta?,order_status,romanized_nepali,false,formal,medium
4533,customized engraving phase finish bhayo ki processing mai cha?,order_status,code_switched,true,formal,hard
4534,backorder queue ma mero exact position k ho?,order_status,code_switched,true,neutral,medium
4535,stuff ready cha ki chaina check gara.,order_status,code_switched,true,informal,easy
4536,B2B supplier le mero bulk request ko lagi inventory allocate garyo?,order_status,code_switched,true,formal,medium
4537,dashboard ma order unverified dekhaudai cha confirm gara na chito.,order_status,code_switched,true,informal,medium
4538,quality check phase pass bhayo ki reject vayo order?,order_status,code_switched,true,neutral,hard
4539,pre-order status ajhai pending cha manufacturer le delay gareko ho?,order_status,code_switched,true,formal,medium
4540,order verification complete huna kati time lagcha explicitly bhana.,order_status,code_switched,true,neutral,medium
4541,I demand the immediate cancellation of this digital pre-order.,order_cancellation,english,false,formal,hard
4542,Please void the transaction as I found a cheaper alternative elsewhere.,order_cancellation,english,false,neutral,medium
4543,cancel this shit,order_cancellation,english,false,informal,easy
4544,Can I intercept the delivery and cancel since I entered the wrong city?,order_cancellation,english,false,formal,medium
4545,म यो डिजिटल प्रि-अर्डर तुरुन्त खारेज गर्न जोडदार माग गर्दछु।,order_cancellation,nepali_devanagari,false,formal,hard
4546,मैले अन्तै सस्तो पाएकोले यो कारोबार रद्द गरिदिनुहोस्।,order_cancellation,nepali_devanagari,false,neutral,medium
4547,यो क्यान्सिल गर त।,order_cancellation,nepali_devanagari,false,informal,easy
4548,गलत सहर छानेकोले डेलिभरी बाटोमै रोकेर अर्डर खारेज गर्न मिल्छ?,order_cancellation,nepali_devanagari,false,formal,medium
4549,ma yo digital pre-order turunta kharej garna joddar maag gardaxu.,order_cancellation,romanized_nepali,false,formal,hard
4550,maile antai sasto payekole yo karobar radda garidinuhos.,order_cancellation,romanized_nepali,false,neutral,medium
4551,yo cancel gara ta.,order_cancellation,romanized_nepali,false,informal,easy
4552,galat sahar chanekole delivery batomai rokera order kharej garna milxa?,order_cancellation,romanized_nepali,false,formal,medium
4553,digital pre-order ko immediate cancellation demand garchu ma.,order_cancellation,code_switched,true,formal,hard
4554,cheaper alternative bhete elsewhere so please transaction void gardinus.,order_cancellation,code_switched,true,neutral,medium
4555,cancel this order ahile ko ahile.,order_cancellation,code_switched,true,informal,easy
4556,wrong city enter vayo so delivery intercept garera cancel garna milcha?,order_cancellation,code_switched,true,formal,medium
4557,subscription renewal cancel garnu thiyo but portal ma option chaina.,order_cancellation,code_switched,true,neutral,hard
4558,hidden charges dherai raicha I want to abort this purchase.,order_cancellation,code_switched,true,informal,medium
4559,pre-sale order ko cancellation policy k cha bataunus.,order_cancellation,code_switched,true,formal,medium
4560,dispatch bhaisakyo re tara malai cancel garnu cha urgently.,order_cancellation,code_switched,true,neutral,hard
4561,Is my cargo detained at the port due to unpaid duty taxes?,delayed_delivery,english,false,formal,hard
4562,The courier truck broke down and now my delivery is postponed.,delayed_delivery,english,false,neutral,medium
4563,where is it taking so long,delayed_delivery,english,false,informal,easy
4564,The holiday backlog is causing a massive delay to my urgent parcel.,delayed_delivery,english,false,formal,medium
4565,के भन्सार कर नतिरेको कारणले मेरो सामान बन्दरगाहमा रोकिएको हो?,delayed_delivery,nepali_devanagari,false,formal,hard
4566,कुरियरको गाडी बिग्रिएर मेरो डेलिभरी सरेछ।,delayed_delivery,nepali_devanagari,false,neutral,medium
4567,किन यति धेरै समय लागेको?,delayed_delivery,nepali_devanagari,false,informal,easy
4568,चाडपर्वको चापले गर्दा मेरो जरुरी पार्सल आउन धेरै ढिला भइरहेको छ।,delayed_delivery,nepali_devanagari,false,formal,medium
4569,k bhansar kar natireko karanle mero saman bandargah ma rokieko ho?,delayed_delivery,romanized_nepali,false,formal,hard
4570,courier ko gadi bigriera mero delivery sarexa.,delayed_delivery,romanized_nepali,false,neutral,medium
4571,kina yati dherai samaya lageko?,delayed_delivery,romanized_nepali,false,informal,easy
4572,chadparba ko chap le garda mero jaruri parcel auna dherai dhila vairai ko xa.,delayed_delivery,romanized_nepali,false,formal,medium
4573,unpaid duty taxes le garda cargo port ma detained vako ho ra?,delayed_delivery,code_switched,true,formal,hard
4574,courier truck break down vayera delivery postpone bhayo re.,delayed_delivery,code_switched,true,neutral,medium
4575,taking so long yar chito pathaideu.,delayed_delivery,code_switched,true,informal,easy
4576,holiday backlog le urgent parcel ma massive delay bhairacha.,delayed_delivery,code_switched,true,formal,medium
4577,missed the delivery attempt bhancha but ghar mai thiye ma.,delayed_delivery,code_switched,true,neutral,hard
4578,tracking ETA continuously shift bhairacha kasto jhyau.,delayed_delivery,code_switched,true,informal,medium
4579,severe weather warning le shipment route divert vako ho?,delayed_delivery,code_switched,true,formal,hard
4580,customs clearance clearance fail vayo bhanne notification aayo delay ko reason k ho?,delayed_delivery,code_switched,true,neutral,medium
4581,I received the paperback edition instead of the hardbound collector's copy.,wrong_item,english,false,formal,hard
4582,I ordered dog food but you shipped me a sack of cat kibble.,wrong_item,english,false,neutral,medium
4583,wrong flavor sent,wrong_item,english,false,informal,easy
4584,The regional language version of the game was delivered to me by mistake.,wrong_item,english,false,formal,medium
4585,मैले हार्डबाउन्ड विशेष प्रति मगाएको तर साधारण पेपरब्याक किताब पाएँ।,wrong_item,nepali_devanagari,false,formal,hard
4586,मैले कुकुरको खाना मगाएको तर तपाईंले बिरालोको खाना पठाइदिनुभएछ।,wrong_item,nepali_devanagari,false,neutral,medium
4587,गलत स्वादको पठायौ।,wrong_item,nepali_devanagari,false,informal,easy
4588,मलाई गल्तीले यो गेमको क्षेत्रीय भाषाको संस्करण डेलिभर गरिएछ।,wrong_item,nepali_devanagari,false,formal,medium
4589,maile hardbound bisesh prati magako tara sadharan paperback kitab panye.,wrong_item,romanized_nepali,false,formal,hard
4590,maile kukur ko khana magako tara tapaile biralo ko khana pathaidinubhayexa.,wrong_item,romanized_nepali,false,neutral,medium
4591,galat swad ko pathayau.,wrong_item,romanized_nepali,false,informal,easy
4592,malai galtile yo game ko kshetriya bhasa ko sanskaran deliver gariexa.,wrong_item,romanized_nepali,false,formal,medium
4593,hardbound collector's copy order gareko paperback edition receive bhayo.,wrong_item,code_switched,true,formal,hard
4594,dog food ko satta cat kibble ship garidiyecha kasto mistake ho.,wrong_item,code_switched,true,neutral,medium
4595,wrong flavor aayo chocolate chahiyeko vanilla pathayo.,wrong_item,code_switched,true,informal,easy
4596,game ko regional language version accidentally deliver bhayo.,wrong_item,code_switched,true,formal,medium
4597,model completely different cha catalog display bhanda.,wrong_item,code_switched,true,neutral,hard
4598,size L order garya XL pathaidiyo kasari use garne.,wrong_item,code_switched,true,informal,medium
4599,right-handed tool chahiyeko left-handed variant dispatch bhayechha.,wrong_item,code_switched,true,formal,hard
4600,220V appliance ko thau ma 110V version deliver garyo.,wrong_item,code_switched,true,neutral,medium
4601,The liquid paint container ruptured and saturated the entire cargo box.,damaged_item,english,false,formal,hard
4602,The tempered glass screen protector arrived snapped in half.,damaged_item,english,false,neutral,medium
4603,the plant is dead,damaged_item,english,false,informal,easy
4604,Rainwater seeped into the circuitry causing a catastrophic short circuit.,damaged_item,english,false,formal,medium
4605,तरल रङको भाँडो फुटेर पूरै कार्गो बाकस लतपतिएको छ।,damaged_item,nepali_devanagari,false,formal,hard
4606,टेम्पर्ड ग्लास स्क्रिन प्रोटेक्टर बीचबाटै भाँचिएको अवस्थामा आइपुग्यो।,damaged_item,nepali_devanagari,false,neutral,medium
4607,बिरुवा मरेको आयो त।,damaged_item,nepali_devanagari,false,informal,easy
4608,पानी पसेर विद्युतीय सर्किटमा ठूलो सर्ट सर्किट भएको छ।,damaged_item,nepali_devanagari,false,formal,medium
4609,taral rang ko vando futera purai cargo bakas latpatieko xa.,damaged_item,romanized_nepali,false,formal,hard
4610,tempered glass screen protector bichbatai bhachieko awastha ma aipugyo.,damaged_item,romanized_nepali,false,neutral,medium
4611,biruwa mareko aayo ta.,damaged_item,romanized_nepali,false,informal,easy
4612,pani pasera bidhutia circuit ma thulo short circuit vayeko xa.,damaged_item,romanized_nepali,false,formal,medium
4613,liquid paint container ruptured vayera entire cargo box saturated bhayo.,damaged_item,code_switched,true,formal,hard
4614,tempered glass screen protector snapped in half arrive bhayo.,damaged_item,code_switched,true,neutral,medium
4615,plant totally dead cha yar deliver huda.,damaged_item,code_switched,true,informal,easy
4616,rainwater seep vayera circuitry ma catastrophic short circuit vayo.,damaged_item,code_switched,true,formal,medium
4617,external shell completely dented cha inadequate packaging le garda.,damaged_item,code_switched,true,neutral,hard
4618,vacuum seal broken cha food item spoil bhayechha.,damaged_item,code_switched,true,informal,medium
4619,metallic body ma severe scuff marks dekhincha out of the box.,damaged_item,code_switched,true,formal,hard
4620,perishable item refrigerated thiyena completely rot vayera aayo.,damaged_item,code_switched,true,neutral,medium
4621,I scoured the packaging but the advertised promotional sticker is completely missing.,missing_item,english,false,formal,hard
4622,The television arrived flawlessly but the remote control is nowhere inside.,missing_item,english,false,neutral,medium
4623,where is the free sample,missing_item,english,false,informal,easy
4624,The assembly instructions and warranty booklet were excluded from the carton.,missing_item,english,false,formal,medium
4625,मैले प्याकेजिङ पूरै खोजें तर विज्ञापन गरिएको प्रमोसनल स्टिकर कतै भेटिएन।,missing_item,nepali_devanagari,false,formal,hard
4626,टेलिभिजन सुरक्षित रूपमा आयो तर रिमोट कन्ट्रोल भित्र कतै छैन।,missing_item,nepali_devanagari,false,neutral,medium
4627,फ्री स्याम्पल खै त?,missing_item,nepali_devanagari,false,informal,easy
4628,जडान गर्ने तरिकाको किताब र वारेन्टी कार्ड बाकसमा राखिएको रहेनछ।,missing_item,nepali_devanagari,false,formal,medium
4629,maile packaging purai khoje tara bigyapan garieko promotional sticker katai vetiena.,missing_item,romanized_nepali,false,formal,hard
4630,television surakshit rupma aayo tara remote control bhitra katai xaina.,missing_item,romanized_nepali,false,neutral,medium
4631,free sample khai ta?,missing_item,romanized_nepali,false,informal,easy
4632,jadan garne tarika ko kitab ra warranty card bakas ma rakhieko rahenaxa.,missing_item,romanized_nepali,false,formal,medium
4633,packaging scour gare tara advertised promotional sticker completely missing cha.,missing_item,code_switched,true,formal,hard
4634,television flawlessly arrive bhayo but remote control nowhere inside.,missing_item,code_switched,true,neutral,medium
4635,free sample khoi missing cha ta.,missing_item,code_switched,true,informal,easy
4636,assembly instructions ra warranty booklet carton bata excluded cha.,missing_item,code_switched,true,formal,medium
4637,combo pack ko secondary module miss bhayechha packing garda.,missing_item,code_switched,true,neutral,hard
4638,charging cable halna birsechha kasto khattam service.,missing_item,code_switched,true,informal,medium
4639,order list states 5 pieces tara received precisely 4 units.,missing_item,code_switched,true,formal,hard
4640,hardware screws ko packet absent cha furniture join garna milena.,missing_item,code_switched,true,neutral,medium
4641,"Due to severe allergic reactions to the fabric, I require an immediate physical return.",return_request,english,false,formal,hard
4642,Can I simply drop off the digital return code at your partner's retail store?,return_request,english,false,neutral,medium
4643,returning this gift,return_request,english,false,informal,easy
4644,Is it permissible to return an opened software package if it is incompatible?,return_request,english,false,formal,medium
4645,कपडाको कारणले गम्भीर एलर्जी भएकोले मलाई तुरुन्तै यो सामान फिर्ता गर्नु छ।,return_request,nepali_devanagari,false,formal,hard
4646,के म डिजिटल रिटर्न कोड लगेर तपाईंको पार्टनर खुद्रा पसलमा छोड्न सक्छु?,return_request,nepali_devanagari,false,neutral,medium
4647,यो गिफ्ट फिर्ता गर्दैछु।,return_request,nepali_devanagari,false,informal,easy
4648,यदि यो मेरो कम्प्युटरमा चलेन भने खोलिसकेको सफ्टवेयर प्याकेज फिर्ता गर्न पाइन्छ?,return_request,nepali_devanagari,false,formal,medium
4649,kapada ko karanle gambhir allergy vayekole malai turuntai yo saman firta garnu xa.,return_request,romanized_nepali,false,formal,hard
4650,k ma digital return code lagera tapaiko partner khudra pasal ma xodna sakxu?,return_request,romanized_nepali,false,neutral,medium
4651,yo gift firta gardaixu.,return_request,romanized_nepali,false,informal,easy
4652,yadi yo mero computer ma chalena vane kholisakeko software package firta garna painxa?,return_request,romanized_nepali,false,formal,medium
4653,fabric le severe allergic reactions diyo immediate physical return require garchu.,return_request,code_switched,true,formal,hard
4654,partner retail store ma digital return code drop off garna milcha?,return_request,code_switched,true,neutral,medium
4655,yo gift return garna chahanchu receipt chaina.,return_request,code_switched,true,informal,easy
4656,incompatible bhayo bhane opened software package return garna permissible cha?,return_request,code_switched,true,formal,medium
4657,oversized item return garna original pallet necessary huncha ki nai?,return_request,code_switched,true,neutral,hard
4658,return label print garna mildaina QR code matra cha ki nai?,return_request,code_switched,true,informal,medium
4659,defective good replace garna bhanda refund claim return raise garnu paryo.,return_request,code_switched,true,formal,hard
4660,pickup schedule ko window expire bhayo exceptions k k cha?,return_request,code_switched,true,neutral,medium
4661,I demand a retroactive price match refund since the item went on sale today.,refund_request,english,false,formal,hard
4662,Can you refund just the expedited shipping fee since the deadline was breached?,refund_request,english,false,neutral,medium
4663,give my money for the delay,refund_request,english,false,informal,easy
4664,I request store credits instead of a bank wire for my returned apparel.,refund_request,english,false,formal,medium
4665,आज सामान सस्तो भएकोले मलाई पुरानो र नयाँ मूल्य बीचको रकम फिर्ता चाहियो।,refund_request,nepali_devanagari,false,formal,hard
