id,text,intent,language,is_code_switched,formality,difficulty
501,Where can I find the delivery map for my package?,order_tracking,english,false,formal,medium
502,Can you pinpoint the exact location of my parcel?,order_tracking,english,false,neutral,medium
503,map link not working to find package,order_tracking,english,false,informal,easy
504,Please provide the courier name and tracking ID.,order_tracking,english,false,formal,hard
505,मेरो कुरियर अहिले कुन ठाउँमा छ?,order_tracking,nepali_devanagari,false,neutral,easy
506,ट्र्याकिङ नम्बरले कामै गरेन,order_tracking,nepali_devanagari,false,informal,medium
507,सामान कहाँ पुग्यो भनेर नक्सामा कसरी हेर्ने?,order_tracking,nepali_devanagari,false,neutral,medium
508,डेलिभरी दिने मान्छेको फोन नम्बर पाउन सकिन्छ?,order_tracking,nepali_devanagari,false,formal,hard
509,mero parcel ahile kata pugyo?,order_tracking,romanized_nepali,false,neutral,easy
510,location herna milne link pathaidinus na,order_tracking,romanized_nepali,false,formal,medium
511,kaha pugo bhanera map ma dekhayena ta,order_tracking,romanized_nepali,false,informal,medium
512,tracking number galat vanyo website ma,order_tracking,romanized_nepali,false,neutral,hard
513,courier partner ko tracking link dinus na.,order_tracking,code_switched,true,formal,medium
514,mero order ko live location herna milcha?,order_tracking,code_switched,true,neutral,easy
515,app ma tracking update vako chaina kata cha?,order_tracking,code_switched,true,informal,medium
516,map ma package stuck vako dekhaucha,order_tracking,code_switched,true,neutral,hard
517,delivery partner le call nai garena location magda,order_tracking,code_switched,true,informal,medium
518,can I get the tracking URL for my order?,order_tracking,code_switched,true,formal,medium
519,mero saman dispatch bhayo tara tracking chaina,order_tracking,code_switched,true,neutral,hard
520,tracking portal is down re kata bata herne aba?,order_tracking,code_switched,true,informal,hard
521,Has my purchase been confirmed by the seller?,order_status,english,false,formal,medium
522,I just placed an order but got no confirmation email.,order_status,english,false,neutral,hard
523,is my order verified?,order_status,english,false,informal,easy
524,Check if ORDER123 is packed.,order_status,english,false,neutral,easy
525,मैले किनेको सामान पक्का भयो कि छैन?,order_status,nepali_devanagari,false,neutral,easy
526,अर्डर स्वीकृत भयो कि भनेर कसरी थाहा पाउने?,order_status,nepali_devanagari,false,formal,medium
527,पैसा तिरेपछि पनि अर्डर पेन्डिङ नै छ त,order_status,nepali_devanagari,false,informal,hard
528,मेरो अर्डर नम्बर २५५ को हालको अवस्था के छ?,order_status,nepali_devanagari,false,formal,medium
529,order confirm bhayo bhanne message aayena,order_status,romanized_nepali,false,neutral,medium
530,saman pathauna ready vayo ki nai?,order_status,romanized_nepali,false,informal,easy
531,mero order ko status k cha aile?,order_status,romanized_nepali,false,neutral,medium
532,order history ma processing matra dekhaudai cha,order_status,romanized_nepali,false,formal,hard
533,order confirmation email aayena k vako ho?,order_status,code_switched,true,neutral,medium
534,seller le order accept garyo ki reject garyo?,order_status,code_switched,true,informal,hard
535,mero current order status processing cha.,order_status,code_switched,true,formal,easy
536,is it packed and ready for dispatch?,order_status,code_switched,true,neutral,medium
537,order place ta bhayo but confirm bhako chaina,order_status,code_switched,true,informal,medium
538,verification process complete bhayo ki nai mero order ko?,order_status,code_switched,true,formal,hard
539,dashboard ma status unfulfilled cha why?,order_status,code_switched,true,neutral,medium
540,order complete bhayo bhancha tara saman aayena k ho yo status?,order_status,code_switched,true,informal,hard
541,Please do not process my recent order.,order_cancellation,english,false,formal,medium
542,I need to drop this purchase before it ships.,order_cancellation,english,false,neutral,hard
543,cancel order 555,order_cancellation,english,false,informal,easy
544,I bought the wrong item and need to void it.,order_cancellation,english,false,neutral,medium
545,म यो अर्डर फिर्ता लिन चाहन्छु।,order_cancellation,nepali_devanagari,false,formal,medium
546,गल्तीले अर्डर भयो यसलाई रद्द गर्न मिल्छ?,order_cancellation,nepali_devanagari,false,neutral,easy
547,सामान नपठाउनु होला मलाई अर्को चाहिएको छ।,order_cancellation,nepali_devanagari,false,informal,medium
548,यो खरिदलाई कसरी खारेज गर्ने होला?,order_status,nepali_devanagari,false,formal,hard
549,yo order malai chahiyena hataidinu.,order_cancellation,romanized_nepali,false,informal,easy
550,maile bhulera order gare cancel kasari garne?,order_cancellation,romanized_nepali,false,neutral,medium
551,order rokna milcha ki nai pack huna aghi?,order_cancellation,romanized_nepali,false,formal,hard
552,cancel garne option nai vetina app ma.,order_cancellation,romanized_nepali,false,neutral,medium
553,please cancel my order mistakenly placed bhayo.,order_cancellation,code_switched,true,formal,medium
554,order dispatch huna aghi cancel garna milcha?,order_cancellation,code_switched,true,neutral,hard
555,malai yo item discard garna man cha,order_cancellation,code_switched,true,informal,medium
556,cancellation request haleko 2 din bhayo accept vayena.,order_cancellation,code_switched,true,neutral,hard
557,mero mind change bhayo I want to cancel.,order_cancellation,code_switched,true,informal,easy
558,how to cancel this product order from my list?,order_cancellation,code_switched,true,formal,medium
559,order void garnus I bought it from local market.,order_cancellation,code_switched,true,neutral,medium
560,cancel button greyed out cha kasari hataune?,order_cancellation,code_switched,true,informal,hard
561,The expected arrival date was yesterday.,delayed_delivery,english,false,formal,medium
562,Why is it taking so many days for one item?,delayed_delivery,english,false,neutral,medium
563,delivery too late,delayed_delivery,english,false,informal,easy
564,It has been stuck at the warehouse for a week.,delayed_delivery,english,false,neutral,hard
565,सामान आउन किन यति धेरै समय लागेको?,delayed_delivery,nepali_devanagari,false,neutral,easy
566,हिजो पुग्छ भनेको सामान आजसम्म अत्तोपत्तो छैन।,delayed_delivery,nepali_devanagari,false,informal,medium
567,डेलिभरीको समय सकिइसक्यो तर सामान हात परेको छैन।,delayed_delivery,nepali_devanagari,false,formal,hard
568,धेरै ढिलो भयो अब त सामान नै चाहिँदैन जस्तो भइसक्यो।,delayed_delivery,nepali_devanagari,false,informal,medium
569,kati dhilo garchau delivery garna?,delayed_delivery,romanized_nepali,false,informal,easy
570,aja aucha bhaneko thiyo khai ta aayena.,delayed_delivery,romanized_nepali,false,neutral,medium
571,1 hapta vayo saman aipugeko chaina.,delayed_delivery,romanized_nepali,false,neutral,medium
572,delivery date cross vayo tara saman batomai cha.,delayed_delivery,romanized_nepali,false,formal,hard
573,expected delivery time pachi pani order aayena.,delayed_delivery,code_switched,true,formal,medium
574,delivery delay bhayo k reason le garda ho?,delayed_delivery,code_switched,true,neutral,hard
575,courier facility ma stuck cha dherai din dekhi.,delayed_delivery,code_switched,true,informal,medium
576,late delivery le garda I am very disappointed.,delayed_delivery,code_switched,true,formal,hard
577,saman aauna kina yesto delay bhako?,delayed_delivery,code_switched,true,neutral,easy
578,delivery extremely slow cha expedite garnus.,delayed_delivery,code_switched,true,formal,medium
579,package ETA missed bhayo when will I get it?,delayed_delivery,code_switched,true,neutral,medium
580,kati time lagcha delivery huna lastai dhilo vo.,delayed_delivery,code_switched,true,informal,hard
581,I got a completely different brand.,wrong_item,english,false,neutral,medium
582,The color and size do not match my invoice.,wrong_item,english,false,formal,hard
583,wrong product sent,wrong_item,english,false,informal,easy
584,This is not the television model I paid for.,wrong_item,english,false,neutral,medium
585,मैले मगाएको भन्दा अर्कै सामान पठाउनुभएछ।,wrong_item,nepali_devanagari,false,neutral,easy
586,कालो भनेको सेतो जुत्ता आयो त।,wrong_item,nepali_devanagari,false,informal,medium
587,मेरो बिलमा भएको र बाकस भित्रको सामान फरक छ।,wrong_item,nepali_devanagari,false,formal,hard
588,अर्कै मान्छेको सामान मलाई डेलिभरी भयो जस्तो छ।,wrong_item,nepali_devanagari,false,neutral,medium
589,maile order gareko t-shirt haina yo.,wrong_item,romanized_nepali,false,informal,easy
590,size M magako XL pathaidiyexa.,wrong_item,romanized_nepali,false,neutral,medium
591,arkai brand ko saman aayo box vitra.,wrong_item,romanized_nepali,false,formal,hard
592,photo ma dekhako vanda farak kura lyaidiyo.,wrong_item,romanized_nepali,false,informal,medium
593,wrong item deliver bhayo I want to exchange it.,wrong_item,code_switched,true,formal,medium
594,maile blue color order garya thiye black aayo.,wrong_item,code_switched,true,neutral,easy
595,product model mismatch bhayo kasari replace garne?,wrong_item,code_switched,true,neutral,hard
596,completely different product receive bhayo.,wrong_item,code_switched,true,informal,medium
597,size incorrect cha I need the right fit.,wrong_item,code_switched,true,formal,medium
598,invoice ma euta cha box ma arko item cha.,wrong_item,code_switched,true,neutral,hard
599,this is not my order pakkai mix up bhayo.,wrong_item,code_switched,true,informal,medium
600,wrong variation aayo please fix this issue.,wrong_item,code_switched,true,formal,medium
601,The screen of the phone is totally shattered.,damaged_item,english,false,neutral,medium
602,My parcel got crushed during shipping.,damaged_item,english,false,formal,hard
603,arrived broken,damaged_item,english,false,informal,easy
604,The contents spilled inside the delivery box.,damaged_item,english,false,neutral,medium
605,बट्टा भित्र सामान पुरै फुटेको अवस्थामा छ।,damaged_item,nepali_devanagari,false,formal,medium
606,ढुवानी गर्दा सामान कुच्चिएर काम नलाग्ने भएछ।,damaged_item,nepali_devanagari,false,neutral,hard
607,प्याकिङ च्यातिएको र सामान बिग्रिएको छ।,damaged_item,nepali_devanagari,false,neutral,medium
608,सामान फुटेको छ कसरी दाबी गर्ने होला?,damaged_item,nepali_devanagari,false,informal,easy
609,saman ta futeko aayo ni yar.,damaged_item,romanized_nepali,false,informal,medium
610,box kholda vitra ko kura sabai bigreko cha.,damaged_item,romanized_nepali,false,neutral,hard
611,product damage cha use garnai namilne.,damaged_item,romanized_nepali,false,formal,medium
612,kasto kucheko packet pathako?,damaged_item,romanized_nepali,false,informal,easy
613,item physically damaged condition ma receive bhayo.,damaged_item,code_switched,true,formal,medium
614,transit ma package deface vayo jasto cha.,damaged_item,code_switched,true,neutral,hard
615,box vitra liquid spill vayera sab damage vo.,damaged_item,code_switched,true,informal,medium
616,product scratch vako cha I cannot accept this.,damaged_item,code_switched,true,neutral,medium
617,screen cracked aayo unboxing video pani cha.,damaged_item,code_switched,true,formal,hard
618,completely broken item lyaidiyo delivery boy le.,damaged_item,code_switched,true,informal,medium
619,damage product lai claim garna k process cha?,damaged_item,code_switched,true,neutral,medium
620,seal broken thiyo ani item pani kucheko cha.,damaged_item,code_switched,true,formal,hard
621,I only received half of the things I ordered.,missing_item,english,false,neutral,medium
622,The accessory kit was not included in the box.,missing_item,english,false,formal,hard
