id,text,intent,language,is_code_switched,formality,difficulty
2501,Can you confirm if the logistics partner has picked up my consignment?,order_tracking,english,false,formal,medium
2502,The tracking details haven't refreshed since it arrived at the hub.,order_tracking,english,false,neutral,medium
2503,where is my courier right now,order_tracking,english,false,informal,easy
2504,I require the contact number of the local delivery branch.,order_tracking,english,false,formal,hard
2505,मेरो कुरियर कुन लजिस्टिक कम्पनीले ल्याउँदैछ?,order_tracking,nepali_devanagari,false,neutral,easy
2506,हबमा पुगेपछि सामान कतै सरेकै छैन त।,order_tracking,nepali_devanagari,false,informal,medium
2507,डेलिभरी दिने व्यक्तिको गाडी कहाँ छ भनेर हेर्न मिल्छ?,order_tracking,nepali_devanagari,false,neutral,medium
2508,सामान बाटोमा हराएको त होइन? ट्र्याकिङमा केही छैन।,order_tracking,nepali_devanagari,false,formal,hard
2509,mero courier kun logistic le lyaudai xa?,order_tracking,romanized_nepali,false,neutral,easy
2510,hub ma pugepaxi saman katai sarekai xaina ta.,order_tracking,romanized_nepali,false,informal,medium
2511,delivery dine manche ko gadi kaha xa herna milxa?,order_tracking,romanized_nepali,false,neutral,medium
2512,saman bato ma haraeko ta haina? tracking ma kei xaina.,order_tracking,romanized_nepali,false,formal,hard
2513,logistics partner le consignment pick up garyo ki nai?,order_tracking,code_switched,true,formal,medium
2514,tracking details hub ma pugepachi refresh bhako chaina.,order_tracking,code_switched,true,neutral,medium
2515,delivery branch ko contact number dinus na malai.,order_tracking,code_switched,true,formal,hard
2516,courier right now kun location ma chha vana ta.,order_tracking,code_switched,true,informal,easy
2517,live GPS tracking unavailable cha app ma.,order_tracking,code_switched,true,neutral,medium
2518,waybill number le kunai pani data fetch garena.,order_tracking,code_switched,true,formal,hard
2519,dispatch vayo vanya cha tara movement zero cha tracking ma.,order_tracking,code_switched,true,informal,medium
2520,expected delivery date aaja ho but tracking still out for delivery chaina.,order_tracking,code_switched,true,neutral,medium
2521,Has the merchant approved the bulk purchase request yet?,order_status,english,false,formal,medium
2522,I am checking to see if my items are ready to be dispatched.,order_status,english,false,neutral,medium
2523,is my order confirmed dude,order_status,english,false,informal,easy
2524,My dashboard states 'awaiting fulfillment' for the past two days.,order_status,english,false,neutral,hard
2525,व्यापारीले मेरो थोक खरिदलाई स्वीकृत गर्यो कि गरेन?,order_status,nepali_devanagari,false,formal,medium
2526,मेरो सामानहरू पठाउनको लागि तयार भइसके?,order_status,nepali_devanagari,false,neutral,medium
2527,अर्डर पक्का भयो कि नाइ?,order_status,nepali_devanagari,false,informal,easy
2528,दुई दिनदेखि 'अवेइटिङ फुलफिलमेन्ट' मात्र भनेर देखाउँछ।,order_status,nepali_devanagari,false,neutral,hard
2529,byapari le mero bulk purchase swikrit garyo ki garena?,order_status,romanized_nepali,false,formal,medium
2530,mero saman haru pathauna ko lagi tayar vaisake?,order_status,romanized_nepali,false,neutral,medium
2531,order pakka vayo ki nai?,order_status,romanized_nepali,false,informal,easy
2532,dui din dekhi awaiting fulfillment matra vanera dekhauxa.,order_status,romanized_nepali,false,neutral,hard
2533,merchant le bulk purchase request approve garyo ki chaina?,order_status,code_switched,true,formal,medium
2534,items dispatch huna ready cha ki still packing hudai cha?,order_status,code_switched,true,neutral,medium
2535,dashboard states awaiting fulfillment since last two days.,order_status,code_switched,true,neutral,hard
2536,order placed bhayo but confirmation email aayena aaja samma.,order_status,code_switched,true,formal,medium
2537,order successful vayo ki nai kasari check garne?,order_status,code_switched,true,informal,easy
2538,cart checkout ta vayo tara order history kine khali cha?,order_status,code_switched,true,informal,medium
2539,verification hold ma cha order status please approve it.,order_status,code_switched,true,formal,hard
2540,status processing dekhaudai cha tara time dherai lagisakyo.,order_status,code_switched,true,neutral,medium
2541,Please void the transaction for the incorrectly placed order.,order_cancellation,english,false,formal,medium
2542,I want to remove the accessory kit from my order list.,order_cancellation,english,false,neutral,hard
2543,cancel this right now,order_cancellation,english,false,informal,easy
2544,If my package hasn't shipped yet can I still stop it?,order_cancellation,english,false,neutral,medium
2545,गलत तरिकाले अर्डर भएकोले यो ट्रान्जेक्सन खारेज गरिदिनुहोस्।,order_cancellation,nepali_devanagari,false,formal,medium
2546,म मेरो अर्डर लिस्टबाट यो सानो सामान हटाउन चाहन्छु।,order_cancellation,nepali_devanagari,false,neutral,hard
2547,यसलाई तुरुन्तै क्यान्सिल गर्देउ।,order_cancellation,nepali_devanagari,false,informal,easy
2548,यदि सामान पठाइएको छैन भने यसलाई रोक्न मिल्छ?,order_cancellation,nepali_devanagari,false,neutral,medium
2549,galat tarika le order vayekole yo transaction kharej garidinuhos.,order_cancellation,romanized_nepali,false,formal,medium
2550,ma mero order list bata yo sano saman hatauna chahanxu.,order_cancellation,romanized_nepali,false,neutral,hard
